,CBOEVIX,S&PCOMP,SMB,HML,SBcov,HLcov,MKT,SMB_mom,HML_mom,MKT_mom,CBOEVIX_d,CBOEVIX_roll,CBOEVIX_spr,MKTVol,SMBVol,HMLVol,MSCov,MHCov,SHCov,MKTp,SMBp,HMLp,MSCovp,MHCovp,SHCovp,Rsqr,classifier
2015-11-16,18.16,2053.19,-0.0149,0.0025,0.6680085467653241,0.9952568013659733,0.014903313824738973,0.9186580274955496,0.8686947986370576,1.006554499906855,0.011439724716412612,0.01033339120687508,0.0011063335095375312,9.06561528604245e-05,5.344869047619079e-05,5.851650793650723e-05,-5.100335457151938e-05,2.4197308270105293e-05,3.9989369506106976e-06,114.93344564878376,-100.23949537653593,-929.2869001532807,-57.7954306728779,493.1254182318191,115.49296393594943,0.4303998866542257,0.0
2015-11-17,18.84,2050.44,-0.005399999999999999,-0.0070999999999999995,0.6681479083665384,0.9944199962056621,-0.0013393792099123392,0.9217162051317188,0.8601187331140147,1.004467697372289,0.011868084452489736,0.01034551506728576,0.001522569385203976,9.066112581203454e-05,5.3264047619047936e-05,5.8685436507935806e-05,-5.090152865329929e-05,2.425289899220473e-05,4.489043192310565e-06,120.1646408682031,-98.49877138863333,-920.36054984942,-53.55722573266081,483.7375698383049,121.89613331275098,0.4313191173629467,0.0
2015-11-18,16.85,2083.58,-0.007299999999999998,0.0034000000000000007,0.6737527825207152,1.0074256640106327,0.016162384658902518,0.9173728462344689,0.8676416374852747,1.0154888390681358,0.010614502283675798,0.01035531414621563,0.000259188137460167,9.159313140876067e-05,5.344869047619079e-05,5.861984126984057e-05,-5.1705206449649145e-05,2.4950141076448355e-05,4.182047049896095e-06,123.5479044538175,-93.61874658325684,-909.3743781232132,-50.070161143340826,473.2723563727479,130.3413734631536,0.430854158003645,1.0
2015-11-19,16.99,2081.24,-0.00020000000000000017,-0.0048000000000000004,0.6732276987288983,1.0069930737368078,-0.0011230670288638889,0.9286112905388476,0.8636496875628579,1.0158733257839034,0.010702693994044617,0.01036283843896535,0.0003398555550792673,9.158919456508562e-05,5.2848492063492375e-05,5.871111111111041e-05,-5.186003263252872e-05,2.499628242174607e-05,4.211789034339275e-06,127.7911665278044,-96.53353918519797,-910.8117615544438,-47.75816827287487,471.3072935568533,130.91146000862017,0.4330649565505298,1.0
2015-11-20,15.47,2089.17,0.0014000000000000006,-0.0063,0.6736514655663106,1.0066455195092732,0.0038102285176147,0.9227141757745614,0.8570088820962762,1.0177420533430754,0.009745183995754575,0.010368987860946848,-0.0006238038651922729,9.16314502405343e-05,5.2614841269841585e-05,5.886083333333263e-05,-5.192995961104652e-05,2.479827616613632e-05,4.008360842345346e-06,130.67526263232895,-97.1189017545878,-912.9609545332964,-46.257017612602624,469.18844338513986,133.0165956617342,0.43551747864776214,1.0
2015-11-23,15.62,2086.59,0.006900000000000001,-0.0070999999999999995,0.6731929535824998,1.0052184594953606,-0.0012349401915593416,0.9336558170911509,0.851094337900974,1.011189726193361,0.009839675114006881,0.010374749819348213,-0.0005350747053413322,9.152867322782328e-05,5.270849206349238e-05,5.906071428571359e-05,-5.1816949624942165e-05,2.4851371970204543e-05,3.65147663315038e-06,133.0673595391866,-97.87028439692597,-918.7832502300782,-45.63274283608689,468.11986021269064,133.68940536193193,0.43919212955402576,1.0
2015-11-24,15.93,2089.14,0.0037,0.006300000000000001,0.6721067444507729,1.0031584329349357,0.0012220896294909966,0.9278320233805845,0.8577428464994987,1.0095341184202253,0.010034956758394982,0.010382286610923098,-0.0003473298525281162,9.150204874187232e-05,5.236599206349239e-05,5.920928571428502e-05,-5.200816237773824e-05,2.493378044475503e-05,3.94294314804319e-06,136.0304417021617,-97.10113936763118,-922.6373539410722,-44.73172907704719,463.9075550536386,134.99484786707964,0.4438777528376291,1.0
2015-11-25,15.19,2088.87,0.011000000000000001,-0.0037,0.6717020631758723,1.00333841775755,-0.0001292397828771552,0.938319671539232,0.859554614732902,1.0105658843848415,0.009568800575016936,0.010390098376651627,-0.0008212978016346913,9.149686622014278e-05,5.2845793650793976e-05,5.913011904761835e-05,-5.202791289084883e-05,2.488768791540614e-05,3.6607266173406045e-06,138.1833761857995,-93.30859979658749,-924.3635119571477,-44.19811712748657,456.98528397809736,137.52559545885714,0.44865394361620203,0.0
2015-11-27,15.12,2090.11,0.0040999999999999995,-0.0027,0.6709784386264509,1.003525150192888,0.0005936223891387371,0.939910995802617,0.8620613608941302,1.0083364289401457,0.009524704719832525,0.010397585172925852,-0.0008728804530933262,9.146702092458094e-05,5.2889642857143184e-05,5.9034603174602486e-05,-5.20672330231695e-05,2.498823765487174e-05,3.692416998672421e-06,141.69699154935896,-92.45355150057111,-929.1342287241976,-43.195869154289255,452.16140836406663,138.064633938621,0.4550111225592156,0.0
2015-11-30,16.13,2080.41,0.0070999999999999995,0.0109,0.6695373363688149,1.004489483336504,-0.004640904067250151,0.9584693842373577,0.8830254632970672,1.006215055427653,0.010160944916064724,0.010404896985647758,-0.00024395206958303418,9.152683878973108e-05,5.247952380952414e-05,5.882507936507867e-05,-5.2595595596112184e-05,2.4296962460382238e-05,3.128833238475116e-06,147.1784844574292,-93.8810476308327,-933.5864835745951,-41.07894267855667,446.75925054992615,137.80586310368173,0.461792960534149,0.0
2015-12-01,14.67,2102.63,-0.008700000000000001,0.0028999999999999994,0.6658602858407683,1.002321381142107,0.010680586999677999,0.9606012542659933,0.8841715626404051,1.0239549244195107,0.009241231365075604,0.010408871612050435,-0.0011676402469748305,9.179444005022195e-05,5.230841269841302e-05,5.884829365079296e-05,-5.391177685470415e-05,2.4694160465036913e-05,3.0762815405050917e-06,149.09203247978616,-89.6441404432183,-932.598439856014,-40.153813589910186,439.176559019355,141.7663529188589,0.4650839104766006,1.0
2015-12-02,15.91,2079.51,0.0026,-0.006400000000000001,0.6657575602352539,1.0031297144754403,-0.010995752937987158,0.9584026445686967,0.8744031697417197,1.0062713217681643,0.010022357942628008,0.01041317120790742,-0.00039081326527941156,9.211247937353164e-05,5.223996031746064e-05,5.8923174603173904e-05,-5.440601457595555e-05,2.4958490653018083e-05,2.7391715676979076e-06,150.53269094773523,-86.90275842699255,-934.8128308702381,-39.989747208245035,433.9417717737646,143.2792263637778,0.4680156539681456,1.0
2015-12-03,18.11,2049.62,0.0021999999999999997,0.002400000000000002,0.6720408081957927,1.0123252608613253,-0.014373578391063457,0.9572564584280934,0.8698042446651784,0.9880877198902768,0.011408227676995173,0.010424045185801534,0.0009841824911936397,9.28760768891091e-05,5.221329365079398e-05,5.8710753968253274e-05,-5.4780574147278725e-05,2.4379865792751767e-05,2.561609119079682e-06,154.4105724906994,-84.71709401447907,-936.7912033890783,-38.12647910487996,426.8808073992941,147.7532681182938,0.4730657644022268,0.0
2015-12-04,14.81,2091.69,-0.018799999999999997,-0.0020999999999999994,0.6739262442294359,1.0280846344779697,0.020525755993794137,0.9431268571238518,0.8686725938264428,1.0095418742036373,0.009329423075444425,0.010434131737710212,-0.0011047086622657867,9.454257225122928e-05,5.3549126984127306e-05,5.872571428571359e-05,-5.785790838182069e-05,2.4120469035258135e-05,2.7865250110672863e-06,160.631526387709,-82.6936945306221,-933.1747717211721,-34.31523448933734,415.916198819935,153.5971185323531,0.4770667835689927,1.0
